COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
TCS,3.4,(1.1L),IT Services & Consulting,Bangalore / Bengaluru,430 other locations,9.4L,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Accenture,3.7,(67.9k),IT Services & Consulting,Bangalore / Bengaluru,245 other locations,6.3L,"Company Culture, Skill Development / Learning, Job Security",
Wipro,3.7,(60.9k),IT Services & Consulting,Bangalore / Bengaluru,367 other locations,4.6L,Skill Development / Learning,Promotions / Appraisal
Cognizant,3.7,(57.8k),IT Services & Consulting,Hyderabad / Secunderabad,224 other locations,5.8L,Job Security,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.7,(49.5k),IT Services & Consulting,Bangalore / Bengaluru,180 other locations,4.6L,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.8,(47.9k),Banking,Mumbai,1778 other locations,1.5L,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.5,(45.5k),IT Services & Consulting,Bangalore / Bengaluru,239 other locations,5.1L,"Job Security, Skill Development / Learning, Company Culture",
ICICI Bank,4,(43.6k),Banking,Mumbai,1416 other locations,1.5L,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
HCLTech,3.4,(42.6k),IT Services & Consulting,Chennai,223 other locations,3.6L,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.4,(40.7k),IT Services & Consulting,Hyderabad / Secunderabad,328 other locations,2.8L,"Promotions / Appraisal, Salary & Benefits",
Genpact,3.6,(39k),IT Services & Consulting,Hyderabad / Secunderabad,173 other locations,2.2L,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Teleperformance,3.8,(35k),BPO,Mumbai,251 other locations,93.6k,Job Security,
Axis Bank,3.7,(30.8k),Banking,Mumbai,1479 other locations,1L,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Concentrix Corporation,3.6,(30.3k),BPO,Bangalore / Bengaluru,174 other locations,1.3L,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Jio,4.3,(29.6k),Telecom,Mumbai,1782 other locations,62.3k,"Job Security, Skill Development / Learning",Promotions / Appraisal
Amazon,4,(29.3k),Internet,Bangalore / Bengaluru,511 other locations,1.4L,"Company Culture, Salary & Benefits, Work Life Balance",
iEnergizer,4.6,(26.8k),BPO,Noida,49 other locations,23.6k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,(25.9k),Retail,Mumbai,1127 other locations,71.8k,"Skill Development / Learning, Job Security",Promotions / Appraisal
IBM,3.9,(24.6k),IT Services & Consulting,Bangalore / Bengaluru,159 other locations,2.1L,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
LTIMindtree,3.6,(24.2k),IT Services & Consulting,Bangalore / Bengaluru,138 other locations,1.9L,"Job Security, Skill Development / Learning",
HDB Financial Services,3.9,(24k),NBFC,Mumbai,1067 other locations,50.2k,"Company Culture, Work Life Balance, Skill Development / Learning",
Larsen & Toubro Limited,3.9,(22.1k),Engineering & Construction,Chennai,737 other locations,72.3k,"Job Security, Work Life Balance, Company Culture",
Deloitte,3.7,(21.3k),Management Consulting,Hyderabad / Secunderabad,179 other locations,2.3L,Job Security,Promotions / Appraisal
Kotak Mahindra Bank,3.6,(20.9k),Banking,Mumbai,673 other locations,85.4k,"Job Security, Skill Development / Learning, Salary & Benefits",
Reliance Industries,4,(18.9k),Oil & Gas,Jamnagar,796 other locations,71.2k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Vodafone Idea,4,(16.9k),Telecom,Pune,694 other locations,50.6k,"Company Culture, Skill Development / Learning, Job Security",
BYJU'S,3.1,(16.6k),EdTech,Bangalore / Bengaluru,322 other locations,54.1k,"Skill Development / Learning, Company Culture, Job Security",
Bharti Airtel,3.9,(16.2k),Telecom,Gurgaon / Gurugram,775 other locations,48.3k,"Job Security, Skill Development / Learning, Company Culture",
WNS,3.3,(14.1k),BPO,Pune,60 other locations,67.8k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
AU Small Finance Bank,4.1,(13.4k),Banking,Jaipur,756 other locations,28.1k,"Skill Development / Learning, Company Culture, Job Security",
Tata Motors,4.1,(13.4k),Automobile,Pune,497 other locations,42.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
IndusInd Bank,3.4,(13.2k),Banking,Mumbai,780 other locations,51.2k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Ernst & Young,3.4,(13.1k),Management Consulting,Bangalore / Bengaluru,127 other locations,1.3L,"Skill Development / Learning, Job Security, Company Culture",
IDFC FIRST Bank,3.9,(13.1k),Banking,Mumbai,701 other locations,47.4k,"Job Security, Skill Development / Learning, Company Culture",
Flipkart,3.9,(12.1k),Internet,Bangalore / Bengaluru,550 other locations,52k,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
Bajaj Finserv,4,(11.7k),Financial Services,Pune,1119 other locations,29.2k,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
DXC Technology,3.6,(11.4k),IT Services & Consulting,Bangalore / Bengaluru,133 other locations,72.4k,"Salary & Benefits, Skill Development / Learning, Job Security",
PwC,3.3,(11.4k),Management Consulting,Bangalore / Bengaluru,127 other locations,1.1L,"Promotions / Appraisal, Salary & Benefits",
Infosys BPM,3.5,(11.3k),BPO,Bangalore / Bengaluru,90 other locations,70.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Mahindra & Mahindra,4.1,(11.3k),Automobile,Pune,549 other locations,38.7k,"Skill Development / Learning, Job Security, Company Culture",
HDFC Life,3.9,(11.1k),Insurance,Mumbai,680 other locations,32k,"Salary & Benefits, Skill Development / Learning, Job Security",
Muthoot Fincorp,4.5,(10.2k),NBFC,Bangalore / Bengaluru,1017 other locations,8.9k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Bandhan Bank,3.7,(9.9k),Banking,Kolkata,965 other locations,24.7k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Conneqt Business Solutions,3.5,(9.8k),BPO,Hyderabad / Secunderabad,259 other locations,26.4k,"Job Security, Work Life Balance, Company Culture",
Mphasis,3.3,(9.7k),IT Services & Consulting,Bangalore / Bengaluru,61 other locations,71.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Yes Bank,3.7,(9.4k),Banking,Mumbai,529 other locations,42.7k,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Tata Steel,4,(9.3k),Iron & Steel,Jamshedpur,223 other locations,32.9k,"Salary & Benefits, Skill Development / Learning, Job Security",
Quess,3.8,(9k),IT Services & Consulting,Bangalore / Bengaluru,708 other locations,29.9k,"Company Culture, Work Life Balance, Job Security",
Startek,3.1,(8.9k),BPO,Bangalore / Bengaluru,102 other locations,24.2k,"Job Security, Salary & Benefits, Skill Development / Learning",
Asian Paints,3.9,(8.8k),Chemicals,Mumbai,532 other locations,25k,"Job Security, Skill Development / Learning, Work Life Balance",
Paytm,3.2,(8.7k),FinTech,Noida,401 other locations,33.2k,"Salary & Benefits, Skill Development / Learning, Job Security",
UltraTech Cement,4.1,(8.6k),Building Material,Mumbai,525 other locations,23.4k,"Salary & Benefits, Work Life Balance",
Shriram Finance,4,(8.5k),NBFC,Chennai,1081 other locations,14.9k,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
Maruti Suzuki,4.2,(8.5k),Automobile,Gurgaon / Gurugram,435 other locations,26.3k,"Promotions / Appraisal, Salary & Benefits",
Bajaj Finance,3.9,(8.3k),NBFC,Pune,930 other locations,22.2k,"Skill Development / Learning, Company Culture, Work Life Balance",
Sutherland Global Services,3.4,(8.3k),BPO,Chennai,77 other locations,32.7k,Job Security,Promotions / Appraisal
EXL Service,3.6,(8.2k),IT Services & Consulting,Noida,60 other locations,42.9k,"Job Security, Skill Development / Learning, Company Culture",
Samsung,3.9,(8.1k),Consumer Electronics & Appliances,Noida,565 other locations,26k,"Job Security, Promotions / Appraisal, Company Culture",
Ericsson,4,(8.1k),Telecom,Bangalore / Bengaluru,161 other locations,42.2k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Cipla,4.1,(8.1k),Pharma,Mumbai,286 other locations,25.6k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Wells Fargo,3.7,(7.8k),Financial Services,Bangalore / Bengaluru,28 other locations,54.1k,"Job Security, Skill Development / Learning, Salary & Benefits",
Dr. Reddy's,4,(7.8k),Pharma,Hyderabad / Secunderabad,208 other locations,25.5k,,
HGS,3.7,(7.4k),BPO,Bangalore / Bengaluru,119 other locations,21.1k,"Salary & Benefits, Skill Development / Learning, Job Security",
Optum Global Solutions,4,(7.4k),IT Services & Consulting,Hyderabad / Secunderabad,63 other locations,46.6k,"Skill Development / Learning, Company Culture, Work Life Balance",
ICICI Prudential Life Insurance,4,(7.3k),Insurance,Mumbai,500 other locations,22.6k,"Job Security, Company Culture, Work Satisfaction",
Delhivery,3.8,(7.3k),Logistics,Gurgaon / Gurugram,727 other locations,20.2k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Amazon Development Centre India,3.9,(7.2k),Internet,Hyderabad / Secunderabad,146 other locations,36.4k,Job Security,"Promotions / Appraisal, Salary & Benefits"
JPMorgan Chase & Co.,3.9,(7.2k),Financial Services,Bangalore / Bengaluru,54 other locations,80.9k,"Job Security, Skill Development / Learning, Work Life Balance",
Jana Small Finance Bank,3.8,(7.2k),Banking,Bangalore / Bengaluru,408 other locations,14.5k,Work Life Balance,Promotions / Appraisal
Sun Pharmaceutical Industries,4.1,(7.2k),Pharma,Vadodara,260 other locations,22.9k,"Job Security, Work Life Balance, Company Culture",
JSW Steel,3.9,(7.1k),Iron & Steel,Ballari,186 other locations,29.7k,"Job Security, Skill Development / Learning, Salary & Benefits",
Hexaware Technologies,3.5,(7.1k),IT Services & Consulting,Chennai,67 other locations,51.4k,"Company Culture, Work Life Balance, Salary & Benefits",
L&T Construction,4,(7k),Engineering & Construction,Chennai,422 other locations,18.8k,Skill Development / Learning,Promotions / Appraisal
Lupin,4.1,(7k),Pharma,Pune,199 other locations,22.2k,"Job Security, Skill Development / Learning, Salary & Benefits",
Zydus Lifesciences,4,(6.9k),Pharma,Ahmedabad,172 other locations,19.6k,"Job Security, Company Culture, Skill Development / Learning",
Hindustan Unilever,4.2,(6.9k),FMCG,Mumbai,517 other locations,19.8k,"Job Security, Salary & Benefits, Skill Development / Learning",
Equitas Small Finance Bank,4.3,(6.8k),Banking,Chennai,444 other locations,12.7k,"Skill Development / Learning, Job Security, Company Culture",
KPMG India,3.4,(6.7k),Management Consulting,Bangalore / Bengaluru,106 other locations,61.2k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
ITC,3.9,(6.7k),FMCG,Bangalore / Bengaluru,368 other locations,23.7k,"Salary & Benefits, Skill Development / Learning",Job Security
Ekart Logistics,3.9,(6.7k),Bangalore / Bengaluru +716 other locations,,,15.2k,"Job Security, Skill Development / Learning",Promotions / Appraisal
Ujjivan Small Finance Bank,4,(6.6k),Banking,Bangalore / Bengaluru,517 other locations,12.2k,Salary & Benefits,
Axis Max Life Insurance,4,(6.6k),Insurance,New Delhi,484 other locations,19.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Megha Engineering & Infrastructures,3.9,(6.4k),Engineering & Construction,Hyderabad / Secunderabad,394 other locations,17.8k,"Job Security, Skill Development / Learning",Promotions / Appraisal
Tata Projects,4.2,(6.3k),Engineering & Construction,Mumbai,275 other locations,21.9k,"Company Culture, Job Security, Work Life Balance",
FIS,3.9,(6.2k),FinTech,Pune,60 other locations,38.5k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
L&T Technology Services,3.1,(6.1k),IT Services & Consulting,Bangalore / Bengaluru,94 other locations,41k,"Skill Development / Learning, Company Culture, Job Security",
